"","x"
"ENSMUSG00000000001",24941
"ENSMUSG00000000003",0
"ENSMUSG00000000028",18273
"ENSMUSG00000000031",4
"ENSMUSG00000000037",0
"ENSMUSG00000000049",1
"ENSMUSG00000000056",9280
"ENSMUSG00000000058",2299
"ENSMUSG00000000078",3283
"ENSMUSG00000000085",12377
"ENSMUSG00000000088",16616
"ENSMUSG00000000093",12
"ENSMUSG00000000094",0
"ENSMUSG00000000103",0
"ENSMUSG00000000120",1
"ENSMUSG00000000125",4
"ENSMUSG00000000126",60
"ENSMUSG00000000127",5407
"ENSMUSG00000000131",34772
"ENSMUSG00000000134",3562
"ENSMUSG00000000142",96
"ENSMUSG00000000148",6056
"ENSMUSG00000000149",12700
"ENSMUSG00000000154",179
"ENSMUSG00000000157",26
"ENSMUSG00000000159",307
"ENSMUSG00000000167",444
"ENSMUSG00000000168",9157
"ENSMUSG00000000171",55818
"ENSMUSG00000000182",0
"ENSMUSG00000000183",0
"ENSMUSG00000000184",45348
"ENSMUSG00000000194",5371
"ENSMUSG00000000197",0
"ENSMUSG00000000202",1
"ENSMUSG00000000204",51
"ENSMUSG00000000214",1
"ENSMUSG00000000215",1
"ENSMUSG00000000216",1
"ENSMUSG00000000223",229
"ENSMUSG00000000244",38851
"ENSMUSG00000000247",5
"ENSMUSG00000000248",0
"ENSMUSG00000000253",4939
"ENSMUSG00000000263",27
"ENSMUSG00000000266",2
"ENSMUSG00000000275",8605
"ENSMUSG00000000276",2768
"ENSMUSG00000000278",6757
"ENSMUSG00000000282",3549
"ENSMUSG00000000290",11865
"ENSMUSG00000000295",5114
"ENSMUSG00000000296",3
"ENSMUSG00000000301",1665
"ENSMUSG00000000303",2
"ENSMUSG00000000305",3
"ENSMUSG00000000308",0
"ENSMUSG00000000317",57
"ENSMUSG00000000318",127
"ENSMUSG00000000320",42
"ENSMUSG00000000325",600
"ENSMUSG00000000326",18566
"ENSMUSG00000000339",7229
"ENSMUSG00000000340",3720
"ENSMUSG00000000346",57085
"ENSMUSG00000000355",13523
"ENSMUSG00000000359",2
"ENSMUSG00000000365",3
"ENSMUSG00000000374",9692
"ENSMUSG00000000378",8869
"ENSMUSG00000000381",1
"ENSMUSG00000000384",16021
"ENSMUSG00000000385",4
"ENSMUSG00000000386",3
"ENSMUSG00000000392",52
"ENSMUSG00000000394",0
"ENSMUSG00000000399",21835
"ENSMUSG00000000402",0
"ENSMUSG00000000409",977
"ENSMUSG00000000411",11
"ENSMUSG00000000416",1
"ENSMUSG00000000420",30849
"ENSMUSG00000000435",0
"ENSMUSG00000000439",5903
"ENSMUSG00000000440",202
"ENSMUSG00000000441",13283
"ENSMUSG00000000486",1249
"ENSMUSG00000000489",20
"ENSMUSG00000000530",15
"ENSMUSG00000000531",615
"ENSMUSG00000000532",2587
"ENSMUSG00000000538",4848
"ENSMUSG00000000544",8
"ENSMUSG00000000552",1102
"ENSMUSG00000000555",12743
"ENSMUSG00000000560",1
"ENSMUSG00000000561",10191
"ENSMUSG00000000562",15
"ENSMUSG00000000563",49537
"ENSMUSG00000000567",1
"ENSMUSG00000000568",27380
"ENSMUSG00000000579",106
"ENSMUSG00000000581",11074
"ENSMUSG00000000594",89605
"ENSMUSG00000000600",14619
"ENSMUSG00000000605",8188
"ENSMUSG00000000606",0
"ENSMUSG00000000617",0
"ENSMUSG00000000627",16
"ENSMUSG00000000628",6839
"ENSMUSG00000000631",12989
"ENSMUSG00000000632",3
"ENSMUSG00000000673",6318
"ENSMUSG00000000682",11480
"ENSMUSG00000000686",585
"ENSMUSG00000000690",0
"ENSMUSG00000000693",207
"ENSMUSG00000000701",0
"ENSMUSG00000000706",9
"ENSMUSG00000000708",4186
"ENSMUSG00000000711",2574
"ENSMUSG00000000724",63
"ENSMUSG00000000730",4
"ENSMUSG00000000731",0
"ENSMUSG00000000732",524
"ENSMUSG00000000738",8797
"ENSMUSG00000000739",0
"ENSMUSG00000000740",12956
"ENSMUSG00000000743",10177
"ENSMUSG00000000751",28827
"ENSMUSG00000000753",7537
"ENSMUSG00000000759",12914
"ENSMUSG00000000766",111
"ENSMUSG00000000776",3390
"ENSMUSG00000000782",156
"ENSMUSG00000000787",41067
"ENSMUSG00000000791",1239
"ENSMUSG00000000792",21
"ENSMUSG00000000794",0
"ENSMUSG00000000804",4872
"ENSMUSG00000000805",0
"ENSMUSG00000000811",2398
"ENSMUSG00000000817",5
"ENSMUSG00000000823",5914
"ENSMUSG00000000826",18030
"ENSMUSG00000000827",17491
"ENSMUSG00000000838",11770
"ENSMUSG00000000861",6
"ENSMUSG00000000869",17
"ENSMUSG00000000876",2510
"ENSMUSG00000000881",184
"ENSMUSG00000000884",2161
"ENSMUSG00000000889",0
"ENSMUSG00000000901",2156
"ENSMUSG00000000902",23214
"ENSMUSG00000000903",279
"ENSMUSG00000000915",3213
"ENSMUSG00000000916",5681
"ENSMUSG00000000934",542
"ENSMUSG00000000938",7977
"ENSMUSG00000000942",184
"ENSMUSG00000000948",0
"ENSMUSG00000000957",7218
"ENSMUSG00000000958",268
"ENSMUSG00000000959",19660
"ENSMUSG00000000976",10868
"ENSMUSG00000000982",6752
"ENSMUSG00000000983",19
"ENSMUSG00000001014",0
"ENSMUSG00000001016",29666
"ENSMUSG00000001017",21022
"ENSMUSG00000001018",8835
"ENSMUSG00000001020",2568
"ENSMUSG00000001021",79
"ENSMUSG00000001023",22
"ENSMUSG00000001025",25142
"ENSMUSG00000001027",14
"ENSMUSG00000001029",16107
"ENSMUSG00000001034",2837
"ENSMUSG00000001036",78
"ENSMUSG00000001039",1207
"ENSMUSG00000001052",20290
"ENSMUSG00000001053",803
"ENSMUSG00000001054",6774
"ENSMUSG00000001056",35125
"ENSMUSG00000001062",3445
"ENSMUSG00000001065",3120
"ENSMUSG00000001076",13
"ENSMUSG00000001082",22596
"ENSMUSG00000001089",12744
"ENSMUSG00000001095",107
"ENSMUSG00000001098",2589
"ENSMUSG00000001100",20594
"ENSMUSG00000001103",14
"ENSMUSG00000001105",7801
"ENSMUSG00000001119",0
"ENSMUSG00000001120",841
"ENSMUSG00000001123",139284
"ENSMUSG00000001127",19677
"ENSMUSG00000001128",20632
"ENSMUSG00000001131",2
"ENSMUSG00000001134",1252
"ENSMUSG00000001138",7377
"ENSMUSG00000001143",9087
"ENSMUSG00000001150",14364
"ENSMUSG00000001151",20214
"ENSMUSG00000001155",2
"ENSMUSG00000001156",6637
"ENSMUSG00000001157",6945
"ENSMUSG00000001158",7692
"ENSMUSG00000001166",697
"ENSMUSG00000001168",0
